"Reg1"	"Reg2"	"Support"	"NA"	"nGRN"	"fisherTest"	"adjustedPvalue"
"64"	"Dlx5"	"Myc"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"65"	"Dlx5"	"Thap4"	0.047907706655242	40480	40480	2.68315208010123e-43	5.46692236320627e-43
"66"	"Klf13"	"Mkx"	0.0207880154989952	17565	17565	0	0
"67"	"Klf13"	"Mybbp1A"	0.0207880154989952	17565	17565	0	0
"68"	"Klf13"	"Mynn"	0.0207880154989952	17565	17565	0	0
"69"	"Klf13"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"70"	"Gtf3A"	"Klf13"	0.0207880154989952	17565	17565	0	0
"71"	"Klf13"	"Lmo2"	0.0207880154989952	17565	17565	0	0
"83"	"Mkx"	"Mybbp1A"	0.0207880154989952	17565	17565	0	0
"84"	"Mkx"	"Mynn"	0.0207880154989952	17565	17565	0	0
"85"	"Mkx"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"86"	"Gtf3A"	"Mkx"	0.0207880154989952	17565	17565	0	0
"87"	"Lmo2"	"Mkx"	0.0207880154989952	17565	17565	0	0
"99"	"Mybbp1A"	"Mynn"	0.0207880154989952	17565	17565	0	0
"100"	"Mybbp1A"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"101"	"Gtf3A"	"Mybbp1A"	0.0207880154989952	17565	17565	0	0
"102"	"Lmo2"	"Mybbp1A"	0.0207880154989952	17565	17565	0	0
"114"	"Mynn"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"115"	"Gtf3A"	"Mynn"	0.0207880154989952	17565	17565	0	0
"116"	"Lmo2"	"Mynn"	0.0207880154989952	17565	17565	0	0
"128"	"Gtf3A"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"129"	"Lmo2"	"Tcf25"	0.0207880154989952	17565	17565	0	0
"141"	"Gtf3A"	"Lmo2"	0.0207880154989952	17565	17565	0	0
